freq,voltage,phase
1.07529920874405e+02,-7.10497865006868e-01,-2.28599661427339e+01
1.07715952087400e+02,-7.12767053787038e-01,-2.28954401042137e+01
1.07902305142092e+02,-7.15042909746480e-01,-2.29309568474956e+01
1.08088980595281e+02,-7.17325448965930e-01,-2.29665163695187e+01
1.08275979004728e+02,-7.19614687544289e-01,-2.30021186669551e+01
1.08463300929163e+02,-7.21910641598522e-01,-2.30377637362086e+01
1.08650946928279e+02,-7.24213327263551e-01,-2.30734515734141e+01
1.08838917562738e+02,-7.26522760692140e-01,-2.31091821744364e+01
1.09027213394174e+02,-7.28838958054794e-01,-2.31449555348696e+01
1.09215834985191e+02,-7.31161935539657e-01,-2.31807716500359e+01
1.09404782899365e+02,-7.33491709352393e-01,-2.32166305149846e+01
1.09594057701251e+02,-7.35828295716070e-01,-2.32525321244917e+01
1.09783659956376e+02,-7.38171710871064e-01,-2.32884764730582e+01
1.09973590231249e+02,-7.40521971074946e-01,-2.33244635549098e+01
1.10163849093357e+02,-7.42879092602350e-01,-2.33604933639958e+01
1.10354437111170e+02,-7.45243091744882e-01,-2.33965658939880e+01
1.10545354854141e+02,-7.47613984810992e-01,-2.34326811382801e+01
1.10736602892708e+02,-7.49991788125869e-01,-2.34688390899864e+01
1.10928181798296e+02,-7.52376518031304e-01,-2.35050397419412e+01
1.11120092143319e+02,-7.54768190885604e-01,-2.35412830866978e+01
1.11312334501181e+02,-7.57166823063450e-01,-2.35775691165275e+01
1.11504909446277e+02,-7.59572430955780e-01,-2.36138978234186e+01
1.11697817553997e+02,-7.61985030969692e-01,-2.36502691990759e+01
1.11891059400727e+02,-7.64404639528286e-01,-2.36866832349192e+01
1.12084635563849e+02,-7.66831273070575e-01,-2.37231399220830e+01
1.12278546621743e+02,-7.69264948051348e-01,-2.37596392514152e+01
1.12472793153793e+02,-7.71705680941054e-01,-2.37961812134761e+01
1.12667375740381e+02,-7.74153488225662e-01,-2.38327657985378e+01
1.12862294962896e+02,-7.76608386406563e-01,-2.38693929965833e+01
1.13057551403733e+02,-7.79070392000416e-01,-2.39060627973052e+01
1.13253145646292e+02,-7.81539521539050e-01,-2.39427751901053e+01
1.13449078274985e+02,-7.84015791569296e-01,-2.39795301640934e+01
1.13645349875234e+02,-7.86499218652914e-01,-2.40163277080864e+01
1.13841961033474e+02,-7.88989819366410e-01,-2.40531678106075e+01
1.14038912337154e+02,-7.91487610300937e-01,-2.40900504598853e+01
1.14236204374740e+02,-7.93992608062167e-01,-2.41269756438529e+01
1.14433837735715e+02,-7.96504829270132e-01,-2.41639433501469e+01
1.14631813010583e+02,-7.99024290559116e-01,-2.42009535661066e+01
1.14830130790870e+02,-8.01551008577518e-01,-2.42380062787733e+01
1.15028791669123e+02,-8.04084999987702e-01,-2.42751014748889e+01
1.15227796238917e+02,-8.06626281465886e-01,-2.43122391408957e+01
1.15427145094852e+02,-8.09174869701975e-01,-2.43494192629348e+01
1.15626838832557e+02,-8.11730781399461e-01,-2.43866418268459e+01
1.15826878048693e+02,-8.14294033275248e-01,-2.44239068181659e+01
1.16027263340950e+02,-8.16864642059541e-01,-2.44612142221282e+01
1.16227995308056e+02,-8.19442624495693e-01,-2.44985640236620e+01
1.16429074549771e+02,-8.22027997340071e-01,-2.45359562073910e+01
1.16630501666896e+02,-8.24620777361900e-01,-2.45733907576332e+01
1.16832277261270e+02,-8.27220981343138e-01,-2.46108676583993e+01
1.17034401935771e+02,-8.29828626078327e-01,-2.46483868933923e+01
1.17236876294324e+02,-8.32443728374448e-01,-2.46859484460064e+01
1.17439700941896e+02,-8.35066305050771e-01,-2.47235522993264e+01
1.17642876484502e+02,-8.37696372938715e-01,-2.47611984361266e+01
1.17846403529204e+02,-8.40333948881703e-01,-2.47988868388700e+01
1.18050282684116e+02,-8.42979049735012e-01,-2.48366174897076e+01
1.18254514558404e+02,-8.45631692365613e-01,-2.48743903704772e+01
1.18459099762285e+02,-8.48291893652045e-01,-2.49122054627029e+01
1.18664038907036e+02,-8.50959670484245e-01,-2.49500627475942e+01
1.18869332604988e+02,-8.53635039763404e-01,-2.49879622060449e+01
1.19074981469533e+02,-8.56318018401816e-01,-2.50259038186325e+01
1.19280986115124e+02,-8.59008623322715e-01,-2.50638875656175e+01
1.19487347157277e+02,-8.61706871460144e-01,-2.51019134269420e+01
1.19694065212572e+02,-8.64412779758772e-01,-2.51399813822294e+01
1.19901140898658e+02,-8.67126365173754e-01,-2.51780914107836e+01
1.20108574834250e+02,-8.69847644670578e-01,-2.52162434915876e+01
1.20316367639135e+02,-8.72576635224895e-01,-2.52544376033032e+01
1.20524519934172e+02,-8.75313353822373e-01,-2.52926737242702e+01
1.20733032341292e+02,-8.78057817458521e-01,-2.53309518325051e+01
1.20941905483506e+02,-8.80810043138551e-01,-2.53692719057007e+01
1.21151139984900e+02,-8.83570047877202e-01,-2.54076339212253e+01
1.21360736470639e+02,-8.86337848698574e-01,-2.54460378561215e+01
1.21570695566973e+02,-8.89113462635984e-01,-2.54844836871058e+01
1.21781017901232e+02,-8.91896906731784e-01,-2.55229713905678e+01
