freq,voltage,phase
1.77827941003890e+04,-1.06778046736770e-01,-9.27374060135962e+00
1.78237876744807e+04,-1.07232062107571e-01,-9.29481794411840e+00
1.78648757485203e+04,-1.07688125857894e-01,-9.31594182777388e+00
1.79060585403527e+04,-1.08146247015326e-01,-9.33711234585238e+00
1.79473362683250e+04,-1.08606434645256e-01,-9.35832959200530e+00
1.79887091512876e+04,-1.09068697851084e-01,-9.37959366000882e+00
1.80301774085954e+04,-1.09533045774348e-01,-9.40090464376356e+00
1.80717412601090e+04,-1.09999487594867e-01,-9.42226263729436e+00
1.81134009261958e+04,-1.10468032530857e-01,-9.44366773474994e+00
1.81551566277311e+04,-1.10938689839108e-01,-9.46512003040262e+00
1.81970085860996e+04,-1.11411468815099e-01,-9.48661961864801e+00
1.82389570231961e+04,-1.11886378793194e-01,-9.50816659400465e+00
1.82810021614272e+04,-1.12363429146697e-01,-9.52976105111380e+00
1.83231442237119e+04,-1.12842629288075e-01,-9.55140308473901e+00
1.83653834334832e+04,-1.13323988669079e-01,-9.57309278976588e+00
1.84077200146893e+04,-1.13807516780871e-01,-9.59483026120168e+00
1.84501541917945e+04,-1.14293223154177e-01,-9.61661559417506e+00
1.84926861897805e+04,-1.14781117359450e-01,-9.63844888393568e+00
1.85353162341478e+04,-1.15271209007011e-01,-9.66033022585388e+00
1.85780445509167e+04,-1.15763507747162e-01,-9.68225971542036e+00
1.86208713666284e+04,-1.16258023270381e-01,-9.70423744824578e+00
1.86637969083464e+04,-1.16754765307432e-01,-9.72626352006047e+00
1.87068214036577e+04,-1.17253743629536e-01,-9.74833802671401e+00
1.87499450806739e+04,-1.17754968048507e-01,-9.77046106417494e+00
1.87931681680324e+04,-1.18258448416905e-01,-9.79263272853029e+00
1.88364908948977e+04,-1.18764194628172e-01,-9.81485311598531e+00
1.88799134909627e+04,-1.19272216616812e-01,-9.83712232286305e+00
1.89234361864495e+04,-1.19782524358490e-01,-9.85944044560397e+00
1.89670592121112e+04,-1.20295127870220e-01,-9.88180758076558e+00
1.90107827992327e+04,-1.20810037210517e-01,-9.90422382502203e+00
1.90546071796322e+04,-1.21327262479540e-01,-9.92668927516372e+00
1.90985325856621e+04,-1.21846813819199e-01,-9.94920402809691e+00
1.91425592502106e+04,-1.22368701413386e-01,-9.97176818084330e+00
1.91866874067026e+04,-1.22892935488061e-01,-9.99438183053964e+00
1.92309172891013e+04,-1.23419526311435e-01,-1.00170450744373e+01
1.92752491319091e+04,-1.23948484194110e-01,-1.00397580099019e+01
1.93196831701689e+04,-1.24479819489244e-01,-1.00625207344127e+01
1.93642196394658e+04,-1.25013542592687e-01,-1.00853333455625e+01
1.94088587759275e+04,-1.25549663943133e-01,-1.01081959410569e+01
1.94536008162263e+04,-1.26088194022294e-01,-1.01311086187141e+01
1.94984459975802e+04,-1.26629143355039e-01,-1.01540714764642e+01
1.95433945577536e+04,-1.27172522509549e-01,-1.01770846123489e+01
1.95884467350596e+04,-1.27718342097462e-01,-1.02001481245213e+01
1.96336027683602e+04,-1.28266612774055e-01,-1.02232621112447e+01
1.96788628970681e+04,-1.28817345238363e-01,-1.02464266708931e+01
1.97242273611482e+04,-1.29370550233371e-01,-1.02696419019500e+01
1.97696964011183e+04,-1.29926238546124e-01,-1.02929079030081e+01
1.98152702580507e+04,-1.30484421007947e-01,-1.03162247727692e+01
1.98609491735734e+04,-1.31045108494518e-01,-1.03395926100430e+01
1.99067333898715e+04,-1.31608311926117e-01,-1.03630115137474e+01
